,Bollywood  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Bollywood  Saturday
10,19:45  -  19:59,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
11,22:15  -  22:29,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
12,21:00  -  21:14,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
13,20:45  -  20:59,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
14,22:00  -  22:14,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
15,21:30  -  21:44,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
16,20:15  -  20:29,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
17,21:15  -  21:29,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
18,20:30  -  20:44,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
19,21:45  -  21:59,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
20,20:00  -  20:14,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21,19:30  -  19:44,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22,12:45  -  12:59,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
23,18:45  -  18:59,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
24,18:15  -  18:29,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
25,12:30  -  12:44,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
26,18:00  -  18:14,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
27,13:00  -  13:14,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
28,18:30  -  18:44,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
29,12:00  -  12:14,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
30,12:15  -  12:29,60616847,Eastern,Chipata,Urban,Male,3,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
31,19:00  -  19:14,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
32,19:45  -  19:59,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
33,20:15  -  20:29,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
34,19:15  -  19:29,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
35,20:00  -  20:14,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
36,19:30  -  19:44,60670479,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
37,17:15  -  17:29,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
38,16:45  -  16:59,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
39,14:00  -  14:14,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
40,17:00  -  17:14,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
41,14:30  -  14:44,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
42,14:15  -  14:29,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
43,15:30  -  15:44,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
44,15:00  -  15:14,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
45,15:15  -  15:29,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
46,16:15  -  16:29,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
47,17:45  -  17:59,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
48,17:30  -  17:44,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
49,16:00  -  16:14,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
50,15:45  -  15:59,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
51,16:30  -  16:44,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
52,14:45  -  14:59,60719886,Central,Kabwe,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
53,11:00  -  11:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,11:00  -  11:14
54,19:30  -  19:44,82366369,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,19:30  -  19:44
55,21:00  -  21:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
56,20:00  -  20:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
57,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
58,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
59,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
60,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
