,Emmanuel TV  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Friday
15,9:00  -  9:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
16,8:15  -  8:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
17,8:00  -  8:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
18,6:15  -  6:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
19,6:30  -  6:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
20,7:45  -  7:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
21,6:45  -  6:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22,7:00  -  7:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
23,7:15  -  7:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
24,8:30  -  8:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
25,22:30  -  22:44,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
26,23:00  -  23:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
27,22:00  -  22:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
28,22:15  -  22:29,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
29,22:45  -  22:59,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
30,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
31,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
32,13:45  -  13:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
33,18:45  -  18:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
34,10:15  -  10:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
35,12:30  -  12:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
36,10:30  -  10:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
37,14:45  -  14:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
38,12:45  -  12:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
39,15:00  -  15:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
40,13:30  -  13:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
41,8:00  -  8:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
42,11:45  -  11:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
43,15:30  -  15:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
44,8:45  -  8:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
45,8:30  -  8:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
46,10:45  -  10:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
47,9:00  -  9:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
48,8:15  -  8:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
49,12:15  -  12:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
50,15:15  -  15:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
51,20:30  -  20:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
52,19:00  -  19:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
53,18:00  -  18:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
54,19:15  -  19:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
55,19:30  -  19:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
56,18:45  -  18:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
57,18:15  -  18:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
58,20:00  -  20:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
59,20:45  -  20:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
60,18:30  -  18:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
61,19:45  -  19:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
