,Channel O  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Thursday
10,18:30  -  18:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
11,19:45  -  19:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
12,17:15  -  17:29,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
13,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
14,7:30  -  7:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
15,8:45  -  8:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
16,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
17,8:15  -  8:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
18,8:00  -  8:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
19,6:15  -  6:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
20,6:30  -  6:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
21,7:45  -  7:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22,6:45  -  6:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
23,7:00  -  7:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
24,7:15  -  7:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
25,8:30  -  8:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
26,20:30  -  20:44,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
27,20:00  -  20:14,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
28,20:45  -  20:59,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
29,20:15  -  20:29,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
30,9:45  -  9:59,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
31,9:30  -  9:44,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
32,9:15  -  9:29,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
33,11:15  -  11:29,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
34,10:45  -  10:59,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
35,11:00  -  11:14,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
36,9:00  -  9:14,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
37,11:30  -  11:44,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
38,10:15  -  10:29,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
39,11:45  -  11:59,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
40,10:00  -  10:14,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
41,10:30  -  10:44,60551800,Copperbelt,Mufulira,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
42,20:00  -  20:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29"
43,20:15  -  20:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29"
44,19:00  -  19:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
45,18:00  -  18:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
46,19:15  -  19:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
47,19:30  -  19:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
48,18:45  -  18:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
49,18:15  -  18:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
50,20:00  -  20:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
51,18:30  -  18:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
52,19:45  -  19:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
53,19:00  -  19:14,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
54,19:30  -  19:44,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
55,19:15  -  19:29,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
56,18:45  -  18:59,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
57,18:30  -  18:44,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
58,17:15  -  17:29,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
59,17:00  -  17:14,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
60,17:45  -  17:59,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
61,17:30  -  17:44,82541841,Copperbelt,Ndola,Urban,Male,1,None,C1,Primary school completed,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
62,11:45  -  11:59,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59"
63,11:00  -  11:14,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59"
64,10:45  -  10:59,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59"
65,11:30  -  11:44,82543554,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59"
66,17:30  -  17:44,82182407,Copperbelt,Ndola,Urban,Male,2,One,C2,Some high school,Other Christian,Student,C2,"K 43,168 and above",Yes,25 – 34,17:30  -  17:44
67,9:30  -  9:44,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                     17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14                                                                                                                                                9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                  20:00  -  20:14,20:15  -  20:29                                             18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14         17:30  -  17:44                                                                                                                                                                                 20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59           18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:4417:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:5910:45  -  10:59,11:00  -  11:14,11:30  -  11:44,11:45  -  11:59       "
