,Iroko Play-African Movies  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iroko Play-African Movies  Yesterday
10,16:00  -  16:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
11,19:00  -  19:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
12,17:45  -  17:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
13,19:15  -  19:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
14,19:30  -  19:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
15,18:00  -  18:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
16,17:30  -  17:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
17,18:45  -  18:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
18,17:00  -  17:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
19,15:45  -  15:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
20,20:00  -  20:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
21,18:15  -  18:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
22,18:30  -  18:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
23,19:45  -  19:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
24,17:15  -  17:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
25,16:45  -  16:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
26,16:30  -  16:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
27,1:15  -  1:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
28,23:45  -  23:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
29,0:15  -  0:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
30,23:00  -  23:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
31,1:00  -  1:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
32,23:30  -  23:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
33,1:30  -  1:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
34,0:00  -  0:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
35,0:45  -  0:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
36,1:45  -  1:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
37,0:30  -  0:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
38,23:15  -  23:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
39,16:00  -  16:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
40,16:15  -  16:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
41,17:45  -  17:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
42,11:15  -  11:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
43,11:00  -  11:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
44,17:00  -  17:14,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
45,17:30  -  17:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
46,11:30  -  11:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
47,16:45  -  16:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
48,11:45  -  11:59,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
49,17:15  -  17:29,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
50,16:30  -  16:44,60744987,Eastern,Petauke,Rural,Female,1,None,C2,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
51,18:45  -  18:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
52,18:00  -  18:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
53,18:15  -  18:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
54,18:30  -  18:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
