,E Africa  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E Africa  Sunday
36,20:00  -  20:14,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
37,14:30  -  14:44,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
38,16:30  -  16:44,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
39,15:45  -  15:59,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,15:45  -  15:59
40,17:15  -  17:29,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
41,17:45  -  17:59,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
42,17:30  -  17:44,82267136,North-Western,Solwezi,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
43,20:15  -  20:29,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
44,21:00  -  21:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
45,20:00  -  20:14,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
46,20:45  -  20:59,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
47,20:30  -  20:44,82362069,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,A subsistence farmer/fisherman,C2,Under K 849,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
48,13:00  -  13:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
49,15:00  -  15:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
50,17:45  -  17:59,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
51,9:00  -  9:14,82113725,Southern,Livingstone,Urban,Male,0,None,DE,No formal education,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,13:00  -  13:14,15:00  -  15:14,17:45  -  17:59"
52,13:45  -  13:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
53,12:45  -  12:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
54,12:00  -  12:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
55,13:30  -  13:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
56,13:00  -  13:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
57,13:15  -  13:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
58,12:15  -  12:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
59,12:30  -  12:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
