,African Movie Channel AMC  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African Movie Channel AMC  Thursday
10,22:30  -  22:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
11,17:45  -  17:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
12,21:45  -  21:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
13,21:00  -  21:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
14,20:45  -  20:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
15,21:30  -  21:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
16,21:15  -  21:29,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
17,17:30  -  17:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
18,20:00  -  20:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
19,19:30  -  19:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
20,22:00  -  22:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21,21:30  -  21:44,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22,21:45  -  21:59,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
23,19:00  -  19:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
24,18:45  -  18:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
25,19:45  -  19:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
26,21:00  -  21:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
27,20:45  -  20:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
28,18:15  -  18:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
29,18:00  -  18:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
30,20:15  -  20:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
31,19:15  -  19:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
32,20:30  -  20:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
33,18:30  -  18:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
34,20:00  -  20:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
35,19:30  -  19:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
36,19:00  -  19:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
37,18:45  -  18:59,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
38,17:15  -  17:29,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
39,19:45  -  19:59,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
40,16:45  -  16:59,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
41,17:00  -  17:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
42,18:15  -  18:29,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
43,18:00  -  18:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
44,19:15  -  19:29,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
45,16:15  -  16:29,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
46,18:30  -  18:44,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
47,17:45  -  17:59,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
48,17:30  -  17:44,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
49,16:00  -  16:14,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
50,16:30  -  16:44,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
51,19:30  -  19:44,60541393,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
52,19:45  -  19:59,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
53,20:15  -  20:29,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
54,19:15  -  19:29,60599272,Southern,Mazabuka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
