,Bollywood  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Bollywood  Wednesday
11,21:15  -  21:29,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
12,20:30  -  20:44,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
13,18:30  -  18:44,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
14,21:45  -  21:59,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
15,20:00  -  20:14,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
16,19:30  -  19:44,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
17,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
18,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
19,7:15  -  7:29,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
20,7:45  -  7:59,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
21,7:30  -  7:44,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
22,11:00  -  11:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,11:00  -  11:14
23,19:30  -  19:44,82366369,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,19:30  -  19:44
24,21:00  -  21:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
25,20:00  -  20:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
26,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
27,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
28,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
29,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
